property,location,latitude,longitude
Moustache Udaipur Luxuria,Udaipur,24.57799888,73.68263271
Moustache Udaipur,Udaipur,24.58145726,73.68223671
Moustache Udaipur Verandah,Udaipur,24.58350565,73.68120777
Moustache Jaipur,Jaipur,27.29124839,75.89630143
Moustache Jaisalmer,Jaisalmer,27.20578572,70.85906998
Moustache Jodhpur,Jodhpur,26.30365556,73.03570908
Moustache Agra,Agra,27.26156953,78.07524716
Moustache Delhi,Delhi,28.61257139,77.28423582
Moustache Rishikesh Luxuria,Rishikesh,30.13769036,78.32465767
Moustache Rishikesh Riverside Resort,Rishikesh,30.10216117,78.38458848
Moustache Hostel Varanasi,Varanasi,25.2992622,82.99691388
Moustache Goa Luxuria,Goa,15.6135195,73.75705228
Moustache Koksar Luxuria,Koksar,32.4357785,77.18518717
Moustache Daman,Daman,20.41486263,72.83282455
Panarpani Retreat,Panarpani,22.52805539,78.43116291
Moustache Pushkar,Pushkar,26.48080513,74.5613783
Moustache Khajuraho,Khajuraho,24.84602104,79.93139381
Moustache Manali,Manali,32.28818695,77.17702523
Moustache Bhimtal Luxuria,Bhimtal,29.36552248,79.53481747
Moustache Srinagar,Srinagar,34.11547314,74.88701741
Moustache Ranthambore Luxuria,Ranthambore,26.05471373,76.42953726
Moustache Coimbatore,Coimbatore,11.02064612,76.96293531
Moustache Shoja,Shoja,31.56341267,77.36733331
